Nome,Tipo,URL,Linguagem Principal,Tecnologias,Descrição
Portfolio_Profissional,Pessoal,https://github.com/GabrielF0900/Portfolio_Profissional,TypeScript,"Next.js, React, TypeScript, Tailwind CSS, Shadcn UI",Portfólio profissional desenvolvido com Next.js e showcasing de projetos
Meu_Novo_Portfolio,Pessoal,https://github.com/GabrielF0900/Meu_Novo_Portfolio,TypeScript,"Next.js, React, TypeScript, Tailwind CSS",Portfolio desenvolvido com tecnologias modernas
Meu_portfolio,Pessoal,https://github.com/GabrielF0900/Meu_portfolio,JavaScript,"HTML, CSS, JavaScript",Portfólio pessoal desenvolvido com tecnologias web clássicas
LoginFull,Pessoal,https://github.com/GabrielF0900/LoginFull,TypeScript,"Node.js, Express, MongoDB, JWT, Bcrypt",Primeiro projeto FULL STACK completo com autenticação
Login_NestJS,Pessoal,https://github.com/GabrielF0900/Login_NestJS,TypeScript,"NestJS, TypeScript, JWT, PostgreSQL",Mini projeto de autenticação com NestJS
NodeAuth_API,Pessoal,https://github.com/GabrielF0900/NodeAuth_API,JavaScript,"Node.js, Express, JWT, MySQL",API de autenticação com Node.js
ChatPRO,Pessoal,https://github.com/GabrielF0900/ChatPRO,TypeScript,"Node.js, Socket.io, React, MongoDB, Express",Mini projeto de Chat em tempo real com WebSocket
Tarefix,Pessoal,https://github.com/GabrielF0900/Tarefix,JavaScript,"React, JavaScript",Aplicação de gerenciamento de tarefas
Lista_de_Compras,Pessoal,https://github.com/GabrielF0900/Lista_de_Compras,JavaScript,"HTML, CSS, JavaScript",Aplicação de lista de compras com manipulação de DOM
banking-core-java,Pessoal,https://github.com/GabrielF0900/banking-core-java,Java,"Java, Spring, Hibernate, Maven, JUnit",Sistema bancário modular em Java com Arquitetura Limpa
extracao-slides-pdf,Pessoal,https://github.com/GabrielF0900/extracao-slides-pdf,Python,"Python, PDF Processing, Automation",Ferramenta de automação em Python para extração de slides de PDFs
AWS-Nexus-IaC-Blueprint,Pessoal,https://github.com/GabrielF0900/AWS-Nexus-IaC-Blueprint,HCL,"AWS, Terraform, CloudFormation, Infrastructure as Code",Infraestrutura como Código com Terraform e CloudFormation
aws-proactive-monitoring,Pessoal,https://github.com/GabrielF0900/aws-proactive-monitoring,Python,"AWS, CloudWatch, Lambda, SNS",Pipeline de monitoramento proativo na AWS com CloudWatch
aws-resilient-order-processor,Pessoal,https://github.com/GabrielF0900/aws-resilient-order-processor,Python,"AWS, SQS, Lambda, S3",Fluxo desacoplado de processamento de pedidos com SQS
aws-s3-auto-remediator,Pessoal,https://github.com/GabrielF0900/aws-s3-auto-remediator,Python,"AWS, S3, Lambda, EventBridge",Automação de segurança em AWS S3 com correção automática
AWS-serverless-order-orchestrator,Pessoal,https://github.com/GabrielF0900/AWS-serverless-order-orchestrator,Python,"AWS, Lambda, Step Functions, DynamoDB",Arquitetura serverless para orquestração de pedidos
aws-serverless-product-catalog,Pessoal,https://github.com/GabrielF0900/aws-serverless-product-catalog,Python,"AWS, Lambda, API Gateway, DynamoDB",API CRUD serverless para catálogo de produtos
Nebula-Archive,Pessoal,https://github.com/GabrielF0900/Nebula-Archive,Python,"Python, AWS S3, Cloud Storage",Orquestrador de armazenamento em nuvem
Madre_Fitness,Pessoal,https://github.com/GabrielF0900/Madre_Fitness,JavaScript,"React, Tailwind CSS, JavaScript",Site com foco em fitness e academia
